                Time     Total_Variation            L2_Error
          4.32500000          4.14737437          0.14079177
          4.33125000          4.14939770          0.14741033
          4.33750000          4.14756112          0.14088208
          4.34375000          4.14796987          0.14749828
          4.35000000          4.14638383          0.14097346
          4.35625000          4.14520976          0.14758757
          4.36250000          4.14391767          0.14106667
          4.36875000          4.14246564          0.14767915
          4.37500000          4.14129651          0.14116294
          4.38125000          4.13973968          0.14777437
          4.38750000          4.13824417          0.14126394
          4.39375000          4.13620793          0.14787514
          4.40000000          4.13499241          0.14137196
          4.40625000          4.13152039          0.14798385
          4.41250000          4.13306133          0.14148990
          4.41875000          4.13177472          0.14810421
          4.42500000          4.13491160          0.14162227
          4.43125000          4.13268532          0.14823976
          4.43750000          4.13667808          0.14177361
          4.44375000          4.13341007          0.14840040
          4.45000000          4.13864193          0.14195552
          4.45625000          4.13384473          0.14858345
          4.46250000          4.14067576          0.14216630
          4.46875000          4.13398967          0.14883929
          4.47500000          4.14242120          0.14246156
          4.48125000          4.13384536          0.14904827
          4.48750000          4.14387839          0.14271199
          4.49375000          4.13341255          0.14970342
          4.50000000          4.14504773          0.14345535
          4.50625000          4.13269173          0.14913388
          4.51250000          4.14592938          0.14287718
          4.51875000          4.13168478          0.14860268
          4.52500000          4.14709150          0.14235277
          4.53125000          4.13038964          0.14813697
          4.53750000          4.14843459          0.14191071
          4.54375000          4.12883957          0.14776337
          4.55000000          4.14950555          0.14157689
          4.55625000          4.12748939          0.14750368
